SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5303756994404476
2;157;0.57414068745004
3;157;0.5915267785771383
4;157;0.5987210231814548
5;157;0.49160671462829736
6;157;0.46342925659472417
7;157;0.5641486810551559
8;157;0.47182254196642687
9;154;0.556985294117647
10;152;0.593698175787728
11;141;0.4975
12;129;0.591304347826087
13;109;0.557070707070707
14;90;0.5510670731707317
15;78;0.4660714285714286
16;60;0.3564814814814815
17;49;0.47045454545454546
18;38;0.5694444444444444
19;36;0.375
20;32;0.55
21;28;0.2980769230769231
22;24;0.25
23;21;0.381578947368421
24;19;0.04411764705882354
25;17;0.4
26;16;0.8035714285714286
27;16;0.625
28;15;0.3076923076923077
29;13;0.5454545454545454
ROC_AUC_SCORE weighted;0.5229526976277038;
F1_SCORE weighted;0.0;
