SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.41446842525979216
2;157;0.36051159072741806
3;157;0.381294964028777
4;157;0.38169464428457234
5;157;0.3800959232613909
6;157;0.3828936850519584
7;157;0.3525179856115108
8;157;0.35811350919264584
9;154;0.36968954248366015
10;152;0.37437810945273636
11;141;0.371
12;129;0.3596273291925466
13;109;0.298989898989899
14;90;0.24237804878048783
15;78;0.23035714285714284
16;60;0.2993827160493827
17;49;0.33636363636363636
18;38;0.6944444444444444
19;36;0.6764705882352942
20;32;0.6833333333333333
21;28;0.6923076923076923
22;24;0.6818181818181819
23;21;0.7105263157894738
24;19;0.7058823529411764
25;17;0.7333333333333334
26;16;0.7142857142857143
27;16;0.6785714285714286
28;15;0.7307692307692307
29;13;0.7727272727272727
ROC_AUC_SCORE weighted;0.3949562107078495;
F1_SCORE weighted;0.0;
