SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.4108713029576339
2;157;0.4028776978417266
3;157;0.4204636290967226
4;157;0.4008792965627498
5;157;0.3908872901678658
6;157;0.3908872901678657
7;157;0.44084732214228617
8;157;0.44204636290967225
9;154;0.44281045751633985
10;152;0.45605306799336653
11;141;0.4915
12;129;0.4316770186335403
13;109;0.4696969696969697
14;90;0.43140243902439024
15;78;0.44285714285714284
16;60;0.4197530864197531
17;49;0.36363636363636365
18;38;0.0
19;36;0.0
20;32;0.0
21;28;0.0
22;24;0.022727272727272707
23;21;0.0
24;19;0.05882352941176472
25;17;0.06666666666666665
26;16;0.0714285714285714
27;16;0.0
28;15;0.0
29;13;0.0
ROC_AUC_SCORE weighted;0.3818980215611698;
F1_SCORE weighted;0.19927914002644984;
