SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.3964828137490008
2;157;0.3892885691446843
3;157;0.3916866506794564
4;157;0.3908872901678657
5;157;0.3932853717026379
6;157;0.3904876099120703
7;157;0.4004796163069544
8;157;0.40127897681854513
9;154;0.4007352941176471
10;152;0.398424543946932
11;141;0.40900000000000003
12;129;0.34534161490683235
13;109;0.3939393939393939
14;90;0.3795731707317073
15;78;0.38749999999999996
16;60;0.3950617283950617
17;49;0.4
18;38;0.19444444444444442
19;36;0.16176470588235298
20;32;0.11666666666666664
21;28;0.13461538461538464
22;24;0.11363636363636365
23;21;0.07894736842105265
24;19;0.08823529411764708
25;17;0.1333333333333333
26;16;0.07142857142857145
27;16;0.07142857142857145
28;15;0.07692307692307693
29;13;0.04545454545454547
ROC_AUC_SCORE weighted;0.3623561761011788;
F1_SCORE weighted;0.0;
