SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6083133493205436
2;157;0.6278976818545164
3;157;0.6035171862509991
4;157;0.6003197442046363
5;157;0.5949240607513989
6;157;0.595523581135092
7;157;0.6486810551558753
8;157;0.6454836131095124
9;154;0.6397058823529412
10;152;0.6388888888888888
11;141;0.6295000000000001
12;129;0.6863354037267081
13;109;0.7525252525252526
14;90;0.7606707317073171
15;78;0.7642857142857143
16;60;0.6728395061728395
17;49;0.6636363636363637
18;38;0.5833333333333333
19;36;0.6176470588235294
20;32;0.6333333333333333
21;28;0.596153846153846
22;24;0.5681818181818181
23;21;0.5526315789473685
24;19;0.5882352941176471
25;17;0.5333333333333333
26;16;0.5714285714285714
27;16;0.5714285714285714
28;15;0.5384615384615384
29;13;0.5454545454545454
ROC_AUC_SCORE weighted;0.6375378855482621;
F1_SCORE weighted;0.056027514059725614;
