SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6095123900879297
2;157;0.5723421262989609
3;157;0.5723421262989609
4;157;0.5887290167865707
5;157;0.6095123900879297
6;157;0.6454836131095124
7;157;0.6866506794564349
8;157;0.6810551558752997
9;154;0.6875
10;152;0.6815920398009949
11;141;0.6745
12;129;0.6490683229813664
13;109;0.6555555555555556
14;90;0.7896341463414634
15;78;0.7821428571428571
16;60;0.7006172839506173
17;49;0.759090909090909
18;38;0.5972222222222221
19;36;0.5735294117647058
20;32;0.5833333333333333
21;28;0.6346153846153847
22;24;0.6363636363636364
23;21;0.6842105263157895
24;19;0.7058823529411764
25;17;0.6333333333333333
26;16;0.6071428571428571
27;16;0.6071428571428571
28;15;0.5769230769230769
29;13;0.5909090909090908
ROC_AUC_SCORE weighted;0.6498348576945588;
F1_SCORE weighted;0.11903682686035666;
