SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.4248601119104716
2;157;0.4180655475619504
3;157;0.3980815347721822
4;157;0.3960831334932054
5;157;0.4464428457234213
6;157;0.4404476418864908
7;157;0.4172661870503597
8;157;0.4236610711430856
9;154;0.43096405228758167
10;152;0.4282752902155887
11;141;0.4495
12;129;0.3813664596273292
13;109;0.40808080808080804
14;90;0.3597560975609756
15;78;0.36428571428571427
16;60;0.4783950617283951
17;49;0.4590909090909091
18;38;0.25
19;36;0.23529411764705882
20;32;0.21666666666666662
21;28;0.25
22;24;0.25
23;21;0.21052631578947367
24;19;0.17647058823529416
25;17;0.19999999999999996
26;16;0.1428571428571429
27;16;0.1428571428571429
28;15;0.15384615384615385
29;13;0.18181818181818177
ROC_AUC_SCORE weighted;0.39595893399403126;
F1_SCORE weighted;0.0;
