SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.39368505195843323
2;157;0.37330135891286975
3;157;0.3840927258193445
4;157;0.39688249400479614
5;157;0.3908872901678657
6;157;0.3936850519584333
7;157;0.3613109512390088
8;157;0.3609112709832134
9;154;0.36437908496732024
10;152;0.3685737976782753
11;141;0.35700000000000004
12;129;0.36024844720496896
13;109;0.31313131313131315
14;90;0.30030487804878053
15;78;0.3017857142857143
16;60;0.3950617283950617
17;49;0.4227272727272728
18;38;0.8333333333333334
19;36;0.823529411764706
20;32;0.8333333333333334
21;28;0.8653846153846153
22;24;0.8409090909090909
23;21;0.8157894736842105
24;19;0.7941176470588235
25;17;0.8
26;16;0.7857142857142856
27;16;0.7857142857142856
28;15;0.8076923076923077
29;13;0.8636363636363636
ROC_AUC_SCORE weighted;0.41891578615210134;
F1_SCORE weighted;0.0;
