SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5359712230215827
2;157;0.5147881694644285
3;157;0.4676258992805755
4;157;0.41087130295763385
5;157;0.4552358113509193
6;157;0.5251798561151079
7;157;0.539568345323741
8;157;0.5479616306954436
9;154;0.5506535947712419
10;152;0.5522388059701492
11;141;0.6144999999999999
12;129;0.6192546583850932
13;109;0.6272727272727272
14;90;0.6585365853658537
15;78;0.6428571428571428
16;60;0.5154320987654322
17;49;0.5545454545454546
18;38;0.3194444444444444
19;36;0.3382352941176471
20;32;0.35000000000000003
21;28;0.30769230769230765
22;24;0.3409090909090909
23;21;0.34210526315789475
24;19;0.3235294117647059
25;17;0.33333333333333337
26;16;0.35714285714285715
27;16;0.35714285714285715
28;15;0.2692307692307692
29;13;0.22727272727272724
ROC_AUC_SCORE weighted;0.5168249745055651;
F1_SCORE weighted;0.17638610513687053;
