SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.3988808952837729
2;157;0.3984812150279776
3;157;0.41047162270183857
4;157;0.41526778577138296
5;157;0.41806554756195047
6;157;0.41766586730615507
7;157;0.43445243804956035
8;157;0.43804956035171866
9;154;0.43750000000000006
10;152;0.43407960199004975
11;141;0.4575
12;129;0.3950310559006211
13;109;0.4636363636363636
14;90;0.43292682926829273
15;78;0.43750000000000006
16;60;0.42592592592592593
17;49;0.42272727272727273
18;38;0.18055555555555552
19;36;0.16176470588235298
20;32;0.11666666666666664
21;28;0.13461538461538464
22;24;0.13636363636363635
23;21;0.07894736842105265
24;19;0.08823529411764708
25;17;0.09999999999999998
26;16;0.0357142857142857
27;16;0.0357142857142857
28;15;0.038461538461538436
29;13;0.0
ROC_AUC_SCORE weighted;0.3898713348090367;
F1_SCORE weighted;0.0;
