SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.3956834532374101
2;157;0.4264588329336531
3;157;0.3948840927258193
4;157;0.3992805755395683
5;157;0.4216626698641087
6;157;0.41966426858513195
7;157;0.44444444444444453
8;157;0.41446842525979216
9;154;0.41094771241830064
10;152;0.38598673300165837
11;141;0.399
12;129;0.4031055900621118
13;109;0.4616161616161616
14;90;0.41158536585365857
15;78;0.4107142857142857
16;60;0.5123456790123457
17;49;0.4409090909090909
18;38;0.5416666666666666
19;36;0.5147058823529411
20;32;0.4666666666666667
21;28;0.4230769230769231
22;24;0.5
23;21;0.4736842105263158
24;19;0.47058823529411764
25;17;0.5
26;16;0.4642857142857143
27;16;0.4642857142857143
28;15;0.46153846153846156
29;13;0.45454545454545453
ROC_AUC_SCORE weighted;0.42343494859838376;
F1_SCORE weighted;0.0;
