SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5243804956035172
2;157;0.5151878497202238
3;157;0.5147881694644285
4;157;0.5227817745803357
5;157;0.5119904076738608
6;157;0.5151878497202238
7;157;0.503197442046363
8;157;0.5051958433253397
9;154;0.5122549019607844
10;152;0.5114013266998342
11;141;0.5145
12;129;0.4875776397515528
13;109;0.48383838383838385
14;90;0.47713414634146345
15;78;0.46071428571428574
16;60;0.5617283950617284
17;49;0.55
18;38;0.4722222222222222
19;36;0.4852941176470588
20;32;0.48333333333333334
21;28;0.5384615384615384
22;24;0.5454545454545454
23;21;0.5
24;19;0.5294117647058824
25;17;0.5
26;16;0.4642857142857143
27;16;0.5
28;15;0.5384615384615384
29;13;0.5454545454545454
ROC_AUC_SCORE weighted;0.5089179098964925;
F1_SCORE weighted;0.0;
