SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.4860111910471623
2;157;0.4908073541167066
3;157;0.4596322941646683
4;157;0.45003996802557955
5;157;0.4964028776978417
6;157;0.5171862509992007
7;157;0.5407673860911271
8;157;0.5419664268585132
9;154;0.5400326797385622
10;152;0.5377280265339967
11;141;0.541
12;129;0.5416149068322982
13;109;0.6212121212121212
14;90;0.6890243902439024
15;78;0.6946428571428571
16;60;0.6296296296296297
17;49;0.6590909090909092
18;38;0.6527777777777778
19;36;0.6470588235294118
20;32;0.6166666666666667
21;28;0.5961538461538461
22;24;0.5454545454545454
23;21;0.4736842105263158
24;19;0.5294117647058824
25;17;0.5666666666666667
26;16;0.5357142857142857
27;16;0.5357142857142857
28;15;0.5384615384615384
29;13;0.5
ROC_AUC_SCORE weighted;0.5412378638686677;
F1_SCORE weighted;0.04347540532036066;
