SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.40407673860911264
2;157;0.38409272581934456
3;157;0.40087929656274973
4;157;0.4084732214228617
5;157;0.4308553157474021
6;157;0.44524380495603516
7;157;0.4408473221422862
8;157;0.44844124700239807
9;154;0.4497549019607844
10;152;0.4543946932006634
11;141;0.4835
12;129;0.4661490683229813
13;109;0.45050505050505046
14;90;0.4878048780487805
15;78;0.5026785714285714
16;60;0.5586419753086419
17;49;0.5772727272727273
18;38;0.625
19;36;0.6397058823529411
20;32;0.675
21;28;0.7211538461538461
22;24;0.75
23;21;0.75
24;19;0.7058823529411764
25;17;0.7
26;16;0.6964285714285714
27;16;0.6964285714285714
28;15;0.6923076923076923
29;13;0.6818181818181818
ROC_AUC_SCORE weighted;0.47244386164456614;
F1_SCORE weighted;0.0;
