SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5685451638689049
2;157;0.6009192645883293
3;157;0.5585531574740208
4;157;0.5907274180655476
5;157;0.5695443645083933
6;157;0.5547561950439649
7;157;0.5563549160671464
8;157;0.5491606714628298
9;154;0.5490196078431373
10;152;0.5435323383084577
11;141;0.517
12;129;0.5263975155279503
13;109;0.5404040404040404
14;90;0.5030487804878049
15;78;0.49196428571428574
16;60;0.42592592592592593
17;49;0.3931818181818182
18;38;0.3125
19;36;0.3088235294117647
20;32;0.3
21;28;0.27884615384615385
22;24;0.26136363636363635
23;21;0.25
24;19;0.2647058823529412
25;17;0.26666666666666666
26;16;0.26785714285714285
27;16;0.26785714285714285
28;15;0.2692307692307692
29;13;0.2727272727272727
ROC_AUC_SCORE weighted;0.5162882395611742;
F1_SCORE weighted;0.0;
