SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.48501199040767384
2;157;0.4602318145483613
3;157;0.48920863309352514
4;157;0.46602717825739404
5;157;0.48760991207034377
6;157;0.49600319744204635
7;157;0.4932054356514789
8;157;0.4988009592326139
9;154;0.5016339869281046
10;152;0.5082918739635158
11;141;0.524
12;129;0.5065217391304347
13;109;0.48888888888888893
14;90;0.5198170731707317
15;78;0.53125
16;60;0.5895061728395061
17;49;0.6181818181818182
18;38;0.6666666666666666
19;36;0.6691176470588235
20;32;0.6916666666666668
21;28;0.7211538461538461
22;24;0.75
23;21;0.75
24;19;0.7647058823529411
25;17;0.7666666666666666
26;16;0.7678571428571428
27;16;0.7678571428571428
28;15;0.7692307692307692
29;13;0.7727272727272727
ROC_AUC_SCORE weighted;0.5249383752385312;
F1_SCORE weighted;0.0;
