SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.43025579536370895
2;157;0.39508393285371707
3;157;0.4116706634692246
4;157;0.41966426858513184
5;157;0.44124700239808157
6;157;0.45083932853717024
7;157;0.4476418864908074
8;157;0.45403677058353314
9;154;0.4546568627450981
10;152;0.4606135986733002
11;141;0.489
12;129;0.47484472049689436
13;109;0.44949494949494945
14;90;0.4878048780487805
15;78;0.5044642857142857
16;60;0.5555555555555556
17;49;0.5727272727272726
18;38;0.625
19;36;0.6397058823529411
20;32;0.675
21;28;0.7211538461538461
22;24;0.75
23;21;0.75
24;19;0.7058823529411764
25;17;0.7
26;16;0.6964285714285714
27;16;0.6964285714285714
28;15;0.6923076923076923
29;13;0.6818181818181818
ROC_AUC_SCORE weighted;0.4792472684654022;
F1_SCORE weighted;0.0;
