SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.611952861952862
2;157;0.6501683501683501
3;157;0.5462962962962964
4;157;0.6902356902356903
5;156;0.6821869488536155
6;155;0.593888888888889
7;154;0.44230019493177386
8;154;0.4666666666666666
9;143;0.6355721393034827
10;135;0.7930769230769231
11;124;0.45316804407713496
12;113;0.35909090909090907
13;97;0.2925531914893617
ROC_AUC_SCORE weighted;0.5668872302187961;
F1_SCORE weighted;0.0;
