SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.3084175084175084
2;157;0.3111111111111111
3;157;0.3111111111111111
4;157;0.3114478114478114
5;156;0.27548500881834215
6;155;0.28629629629629627
7;154;0.29473684210526313
8;154;0.2881091617933723
9;143;0.3200663349917081
10;135;0.2476923076923077
11;124;0.33608815426997246
12;113;0.3727272727272727
13;97;0.43971631205673756
ROC_AUC_SCORE weighted;0.31079675022547554;
F1_SCORE weighted;0.23326859907783726;
