SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6936026936026936
2;157;0.6845117845117845
3;157;0.6656565656565657
4;157;0.6902356902356903
5;156;0.6790123456790123
6;155;0.6718518518518518
7;154;0.6939571150097466
8;154;0.6892787524366472
9;143;0.6907131011608623
10;135;0.6815384615384615
11;124;0.6115702479338843
12;113;0.5969696969696969
13;97;0.5886524822695036
ROC_AUC_SCORE weighted;0.6689034894265625;
F1_SCORE weighted;0.11289959582730649;
