SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6905723905723906
2;157;0.6888888888888889
3;157;0.6895622895622896
4;157;0.6976430976430976
5;156;0.7340388007054673
6;155;0.7285185185185186
7;154;0.7165692007797272
8;154;0.7118908382066277
9;143;0.6583747927031509
10;135;0.7461538461538462
11;124;0.6914600550964187
12;113;0.6424242424242423
13;97;0.6205673758865249
ROC_AUC_SCORE weighted;0.6967123841985994;
F1_SCORE weighted;0.08968853770412435;
