SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6720538720538722
2;157;0.6683501683501685
3;157;0.6707070707070708
4;157;0.6723905723905723
5;156;0.7026455026455026
6;155;0.6914814814814815
7;154;0.6744639376218324
8;154;0.6803118908382066
9;143;0.6194029850746269
10;135;0.6661538461538461
11;124;0.5702479338842975
12;113;0.5484848484848485
13;97;0.4929078014184397
ROC_AUC_SCORE weighted;0.6485984693111397;
F1_SCORE weighted;0.19912487187664737;
