SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6912457912457912
2;157;0.6888888888888889
3;157;0.6841750841750842
4;157;0.6895622895622895
5;156;0.7432098765432099
6;155;0.7555555555555555
7;154;0.7231968810916178
8;154;0.7228070175438596
9;143;0.7205638474295191
10;135;0.6123076923076922
11;124;0.652892561983471
12;113;0.5999999999999999
13;97;0.5709219858156028
ROC_AUC_SCORE weighted;0.6874312230519909;
F1_SCORE weighted;0.06448692791035851;
