SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.7185185185185186
2;157;0.71986531986532
3;157;0.7292929292929293
4;157;0.728956228956229
5;156;0.7622574955908289
6;155;0.7507407407407408
7;154;0.7329434697855751
8;154;0.7321637426900585
9;143;0.5265339966832504
10;135;0.5923076923076923
11;124;0.5730027548209367
12;113;0.509090909090909
13;97;0.4574468085106383
ROC_AUC_SCORE weighted;0.6691138945978786;
F1_SCORE weighted;0.025985848471055575;
