SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.44023569023569015
2;157;0.4488215488215488
3;157;0.4661616161616162
4;157;0.43922558922558924
5;156;0.5049382716049382
6;155;0.5448148148148149
7;154;0.615009746588694
8;154;0.6469785575048733
9;143;0.28814262023217246
10;135;0.3730769230769231
11;124;0.26170798898071623
12;113;0.4984848484848484
13;97;0.4769503546099291
ROC_AUC_SCORE weighted;0.46579084749488914;
F1_SCORE weighted;0.0;
