SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.2828282828282829
2;157;0.2872053872053872
3;157;0.29562289562289557
4;157;0.29764309764309765
5;156;0.2641975308641975
6;155;0.2722222222222222
7;154;0.27953216374269
8;154;0.2807017543859649
9;143;0.31757877280265334
10;135;0.18769230769230769
11;124;0.2258953168044077
12;113;0.2636363636363636
13;97;0.30851063829787234
ROC_AUC_SCORE weighted;0.2747730049101181;
F1_SCORE weighted;0.15473796119171324;
