SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6016835016835016
2;157;0.5986531986531987
3;157;0.6141414141414141
4;157;0.6151515151515152
5;156;0.6451499118165784
6;155;0.6555555555555557
7;154;0.6803118908382065
8;154;0.6807017543859648
9;143;0.6459369817578773
10;135;0.56
11;124;0.7107438016528925
12;113;0.6787878787878788
13;97;0.6666666666666666
ROC_AUC_SCORE weighted;0.6405451142210348;
F1_SCORE weighted;0.1344563056734966;
