SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6565656565656566
2;157;0.6525252525252526
3;157;0.6558922558922559
4;157;0.6757575757575758
5;156;0.7047619047619048
6;155;0.6970370370370371
7;154;0.6826510721247563
8;154;0.6670565302144249
9;143;0.642620232172471
10;135;0.7246153846153847
11;124;0.6336088154269972
12;113;0.5727272727272728
13;97;0.5460992907801419
ROC_AUC_SCORE weighted;0.6597148688545841;
F1_SCORE weighted;0.0944156595044169;
