SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5888888888888889
2;157;0.5856902356902356
3;157;0.5877104377104376
4;157;0.5887205387205386
5;156;0.6088183421516754
6;155;0.5948148148148149
7;154;0.5884990253411305
8;154;0.5768031189083821
9;143;0.5074626865671641
10;135;0.5984615384615385
11;124;0.6322314049586777
12;113;0.6439393939393938
13;97;0.6046099290780141
ROC_AUC_SCORE weighted;0.5911272482339835;
F1_SCORE weighted;0.0;
