SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.3082491582491582
2;157;0.3131313131313131
3;157;0.33097643097643104
4;157;0.3355218855218855
5;156;0.3514991181657849
6;155;0.35314814814814816
7;154;0.36861598440545806
8;154;0.36491228070175435
9;143;0.34742951907131014
10;135;0.49615384615384617
11;124;0.46556473829201095
12;113;0.47575757575757577
13;97;0.48581560283687936
ROC_AUC_SCORE weighted;0.37655195560100324;
F1_SCORE weighted;0.08355322235435433;
