SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6764309764309764
2;157;0.6814814814814814
3;157;0.687878787878788
4;157;0.693939393939394
5;156;0.6970017636684304
6;155;0.7455555555555555
7;154;0.7500974658869396
8;154;0.7641325536062378
9;143;0.7611940298507462
10;135;0.7476923076923077
11;124;0.7300275482093664
12;113;0.7181818181818181
13;97;0.7304964539007093
ROC_AUC_SCORE weighted;0.720789588462098;
F1_SCORE weighted;0.07136051343790184;
