SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6747474747474748
2;157;0.6686868686868687
3;157;0.6693602693602694
4;157;0.6717171717171717
5;156;0.655731922398589
6;155;0.64
7;154;0.6382066276803119
8;154;0.6389863547758284
9;143;0.5696517412935324
10;135;0.6353846153846153
11;124;0.5619834710743801
12;113;0.506060606060606
13;97;0.3900709219858156
ROC_AUC_SCORE weighted;0.6194701720136468;
F1_SCORE weighted;0.06018468461643324;
