SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5230639730639731
2;157;0.5304713804713805
3;157;0.5328282828282829
4;157;0.5306397306397307
5;156;0.5409171075837743
6;155;0.5288888888888889
7;154;0.49220272904483436
8;154;0.509551656920078
9;143;0.5281923714759537
10;135;0.5361538461538461
11;124;0.4724517906336088
12;113;0.47121212121212114
13;97;0.47340425531914887
ROC_AUC_SCORE weighted;0.5156880223089279;
F1_SCORE weighted;0.0;
