SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.4567340067340068
2;157;0.4461279461279462
3;157;0.4526936026936027
4;157;0.4430976430976431
5;156;0.474074074074074
6;155;0.4725925925925926
7;154;0.5003898635477583
8;154;0.5146198830409356
9;143;0.44029850746268656
10;135;0.5015384615384615
11;124;0.512396694214876
12;113;0.509090909090909
13;97;0.5070921985815602
ROC_AUC_SCORE weighted;0.47704693142431603;
F1_SCORE weighted;0.0;
