SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5821548821548823
2;157;0.5843434343434344
3;157;0.5804713804713806
4;157;0.57996632996633
5;156;0.5904761904761905
6;155;0.5803703703703703
7;154;0.5506822612085769
8;154;0.5805068226120857
9;143;0.5269485903814262
10;135;0.5538461538461539
11;124;0.5041322314049587
12;113;0.5
13;97;0.5070921985815603
ROC_AUC_SCORE weighted;0.5594012842439121;
F1_SCORE weighted;0.051706608542195096;
