SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5643097643097643
2;157;0.5685185185185186
3;157;0.5717171717171716
4;157;0.5675084175084175
5;156;0.5753086419753086
6;155;0.5624074074074075
7;154;0.5198830409356725
8;154;0.5442495126705653
9;143;0.5485074626865672
10;135;0.52
11;124;0.4242424242424242
12;113;0.4212121212121212
13;97;0.425531914893617
ROC_AUC_SCORE weighted;0.5312675420527193;
F1_SCORE weighted;0.0;
