SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.3992794486215539
2;157;0.40209899749373434
3;157;0.45128446115288223
4;157;0.4960839598997494
5;157;0.5302318295739349
6;157;0.4458020050125313
7;157;0.44423558897243104
8;154;0.4584935897435897
9;152;0.5138346354166666
10;142;0.4915254237288136
11;129;0.5621410992616899
12;109;0.5037917087967644
13;93;0.5813664596273291
14;82;0.5644028103044496
15;61;0.5073529411764707
16;51;0.6517857142857142
17;40;0.6016483516483516
18;38;0.5384615384615384
19;35;0.6212121212121212
20;28;0.459375
21;25;0.4558823529411765
22;21;0.6581632653061225
ROC_AUC_SCORE weighted;0.4924130763508414;
F1_SCORE weighted;0.0;
