SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6760651629072683
2;157;0.7033208020050125
3;157;0.6719924812030075
4;157;0.6961152882205514
5;157;0.6901629072681704
6;157;0.7048872180451128
7;157;0.7058270676691729
8;154;0.7022435897435898
9;152;0.701171875
10;142;0.7051553672316384
11;129;0.6698113207547169
12;109;0.6425682507583419
13;93;0.6826086956521739
14;82;0.6432474629195941
15;61;0.5721925133689839
16;51;0.575
17;40;0.5879120879120879
18;38;0.6492307692307693
19;35;0.6742424242424243
20;28;0.525
21;25;0.573529411764706
22;21;0.5408163265306122
ROC_AUC_SCORE weighted;0.6751369167702349;
F1_SCORE weighted;0.8938947627872164;
