SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6397243107769424
2;157;0.6401942355889726
3;157;0.625
4;157;0.6115288220551379
5;157;0.5866228070175438
6;157;0.6015037593984962
7;157;0.6055764411027569
8;154;0.5971153846153846
9;152;0.58984375
10;142;0.5958686440677966
11;129;0.5744462674323216
12;109;0.557381193124368
13;93;0.5962732919254659
14;82;0.5679156908665105
15;61;0.5106951871657754
16;51;0.5499999999999999
17;40;0.5796703296703296
18;38;0.5969230769230769
19;35;0.696969696969697
20;28;0.5624999999999999
21;25;0.5882352941176471
22;21;0.5612244897959183
ROC_AUC_SCORE weighted;0.5982768612748994;
F1_SCORE weighted;0.0;
