SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6604010025062657
2;157;0.6506892230576441
3;157;0.6394110275689223
4;157;0.6788847117794488
5;157;0.6760651629072683
6;157;0.6945488721804511
7;157;0.6979949874686717
8;154;0.6974358974358975
9;152;0.6975911458333331
10;142;0.696680790960452
11;129;0.6628383921246923
12;109;0.6309403437815976
13;93;0.6751552795031055
14;82;0.644808743169399
15;61;0.5815508021390374
16;51;0.5732142857142857
17;40;0.5961538461538463
18;38;0.6492307692307692
19;35;0.7045454545454546
20;28;0.5874999999999999
21;25;0.6176470588235294
22;21;0.6020408163265306
ROC_AUC_SCORE weighted;0.6650349051846344;
F1_SCORE weighted;0.0;
