SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5518483709273184
2;157;0.5787907268170426
3;157;0.5922619047619048
4;157;0.5072055137844611
5;157;0.5277255639097744
6;157;0.5642230576441103
7;157;0.56265664160401
8;154;0.5608974358974359
9;152;0.46858723958333337
10;142;0.6163488700564972
11;129;0.5336341263330598
12;109;0.49443882709807885
13;93;0.4475155279503106
14;82;0.4473067915690867
15;61;0.48395721925133683
16;51;0.41696428571428573
17;40;0.47390109890109894
18;38;0.48307692307692307
19;35;0.5075757575757576
20;28;0.453125
21;25;0.5514705882352942
22;21;0.6020408163265306
ROC_AUC_SCORE weighted;0.5316676844920962;
F1_SCORE weighted;0.0;
