SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.26253132832080206
2;157;0.22744360902255636
3;157;0.25689223057644106
4;157;0.23903508771929824
5;157;0.23621553884711782
6;157;0.23903508771929824
7;157;0.2412280701754386
8;154;0.23782051282051284
9;152;0.24088541666666666
10;142;0.2369350282485876
11;129;0.25635767022149303
12;109;0.27856420626895856
13;93;0.2347826086956522
14;82;0.2568306010928962
15;61;0.3074866310160428
16;51;0.29107142857142854
17;40;0.260989010989011
18;38;0.20307692307692307
19;35;0.21590909090909088
20;28;0.29375
21;25;0.2720588235294118
22;21;0.2959183673469388
ROC_AUC_SCORE weighted;0.24835831829701085;
F1_SCORE weighted;0.8982463870621272;
