SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6372180451127819
2;157;0.6528822055137845
3;157;0.6635338345864662
4;157;0.43890977443609025
5;157;0.3489974937343358
6;157;0.33771929824561403
7;157;0.33897243107769426
8;154;0.3496794871794872
9;152;0.3644205729166667
10;142;0.4092514124293785
11;129;0.3888433141919606
12;109;0.40546006066734075
13;93;0.49006211180124226
14;82;0.5323965651834505
15;61;0.4385026737967914
16;51;0.48750000000000004
17;40;0.46978021978021983
18;38;0.4369230769230769
19;35;0.5454545454545454
20;28;0.35
21;25;0.4632352941176471
22;21;0.36734693877551017
ROC_AUC_SCORE weighted;0.45276609894599207;
F1_SCORE weighted;0.24820427783695886;
