SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.7474937343358395
2;157;0.7593984962406015
3;157;0.731829573934837
4;157;0.7518796992481203
5;157;0.75
6;157;0.7484335839598997
7;157;0.7484335839598998
8;154;0.7487179487179487
9;152;0.7415364583333333
10;142;0.7425847457627118
11;129;0.715340442986054
12;109;0.6905965621840243
13;93;0.7453416149068323
14;82;0.7275565964090555
15;61;0.6550802139037433
16;51;0.6660714285714285
17;40;0.6868131868131868
18;38;0.7353846153846153
19;35;0.8181818181818182
20;28;0.73125
21;25;0.75
22;21;0.7755102040816326
ROC_AUC_SCORE weighted;0.737392576945905;
F1_SCORE weighted;0.0;
