SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5944548872180452
2;157;0.5855263157894738
3;157;0.6170112781954888
4;157;0.48386591478696744
5;157;0.581610275689223
6;157;0.5349310776942355
7;157;0.5581140350877193
8;154;0.5474358974358974
9;152;0.5704752604166666
10;142;0.520656779661017
11;129;0.47744052502050865
12;109;0.5770980788675429
13;93;0.5366459627329192
14;82;0.5757220921155348
15;61;0.3803475935828877
16;51;0.5196428571428571
17;40;0.554945054945055
18;38;0.4553846153846154
19;35;0.6041666666666667
20;28;0.38750000000000007
21;25;0.40441176470588236
22;21;0.673469387755102
ROC_AUC_SCORE weighted;0.5458306729400916;
F1_SCORE weighted;0.0;
