SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.3261278195488722
2;157;0.3201754385964912
3;157;0.33865914786967416
4;157;0.325187969924812
5;157;0.32048872180451127
6;157;0.3132832080200501
7;157;0.31328320802005016
8;154;0.308974358974359
9;152;0.31282552083333337
10;142;0.3026129943502825
11;129;0.32895816242821985
12;109;0.3538928210313448
13;93;0.30807453416149067
14;82;0.32864949258391885
15;61;0.3796791443850267
16;51;0.3392857142857143
17;40;0.29395604395604397
18;38;0.23076923076923075
19;35;0.1856060606060606
20;28;0.2625
21;25;0.24264705882352938
22;21;0.2653061224489796
ROC_AUC_SCORE weighted;0.3167637187923572;
F1_SCORE weighted;0.8994634034599792;
