SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.4356203007518797
2;157;0.4130639097744361
3;157;0.42105263157894735
4;157;0.5045426065162908
5;157;0.5404135338345863
6;157;0.5604636591478698
7;157;0.5684523809523808
8;154;0.5673076923076923
9;152;0.5721028645833333
10;142;0.5686793785310734
11;129;0.5225594749794913
12;109;0.5783619817997978
13;93;0.610248447204969
14;82;0.6252927400468384
15;61;0.5494652406417113
16;51;0.5642857142857143
17;40;0.6071428571428572
18;38;0.6107692307692307
19;35;0.6590909090909091
20;28;0.5249999999999999
21;25;0.5698529411764706
22;21;0.5612244897959183
ROC_AUC_SCORE weighted;0.5346586820200181;
F1_SCORE weighted;0.0;
