SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.661967418546366
2;157;0.6582080200501252
3;157;0.6403508771929824
4;157;0.6738721804511277
5;157;0.6842105263157895
6;157;0.6954887218045113
7;157;0.6964285714285715
8;154;0.6964743589743589
9;152;0.6962890625
10;142;0.6963276836158191
11;129;0.6735028712059066
12;109;0.6476238624873609
13;93;0.6968944099378882
14;82;0.6752537080405933
15;61;0.6096256684491979
16;51;0.6446428571428572
17;40;0.6758241758241758
18;38;0.7446153846153846
19;35;0.8068181818181819
20;28;0.7000000000000001
21;25;0.7279411764705883
22;21;0.7244897959183674
ROC_AUC_SCORE weighted;0.6798684203817648;
F1_SCORE weighted;0.0;
