SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.48605889724310775
2;157;0.4920112781954887
3;157;0.49796365914786966
4;157;0.47258771929824556
5;157;0.47791353383458646
6;157;0.481359649122807
7;157;0.48261278195488716
8;154;0.4807692307692307
9;152;0.48470052083333337
10;142;0.5208333333333333
11;129;0.5176374077112388
12;109;0.5490394337714863
13;93;0.5869565217391305
14;82;0.5987509758001561
15;61;0.553475935828877
16;51;0.5910714285714286
17;40;0.6346153846153846
18;38;0.6338461538461538
19;35;0.678030303030303
20;28;0.5625
21;25;0.5661764705882353
22;21;0.5306122448979592
ROC_AUC_SCORE weighted;0.5145824650685614;
F1_SCORE weighted;0.0;
