SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.2883771929824561
2;157;0.2789786967418546
3;157;0.28383458646616544
4;157;0.2650375939849624
5;157;0.26597744360902253
6;157;0.26817042606516295
7;157;0.26973684210526316
8;154;0.27339743589743587
9;152;0.27734375
10;142;0.26871468926553677
11;129;0.29573420836751435
12;109;0.320525783619818
13;93;0.284472049689441
14;82;0.3083528493364559
15;61;0.39438502673796794
16;51;0.41250000000000003
17;40;0.39560439560439564
18;38;0.3353846153846154
19;35;0.3484848484848485
20;28;0.475
21;25;0.4558823529411765
22;21;0.5000000000000001
ROC_AUC_SCORE weighted;0.29648530840717663;
F1_SCORE weighted;0.8994634034599792;
