SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.7131892230576442
2;157;0.719141604010025
3;157;0.7109962406015038
4;157;0.7241541353383459
5;157;0.7377819548872181
6;157;0.7349624060150376
7;157;0.7365288220551378
8;154;0.7387820512820513
9;152;0.7353515625
10;142;0.7418785310734464
11;129;0.7243642329778508
12;109;0.7052578361981799
13;93;0.7571428571428572
14;82;0.7306791569086651
15;61;0.6858288770053476
16;51;0.6732142857142858
17;40;0.6978021978021978
18;38;0.7723076923076923
19;35;0.7840909090909091
20;28;0.7062499999999999
21;25;0.7279411764705882
22;21;0.7040816326530612
ROC_AUC_SCORE weighted;0.7269680504608644;
F1_SCORE weighted;0.0;
