SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.4660087719298246
2;157;0.45802005012531327
3;157;0.4588032581453634
4;157;0.47681704260651625
5;157;0.5189536340852131
6;157;0.5231829573934836
7;157;0.5233395989974936
8;154;0.5161858974358975
9;152;0.54296875
10;142;0.5400776836158192
11;129;0.5057424118129614
12;109;0.5042972699696663
13;93;0.5127329192546584
14;82;0.5288836846213896
15;61;0.5193850267379679
16;51;0.5142857142857142
17;40;0.47527472527472525
18;38;0.5107692307692308
19;35;0.5511363636363636
20;28;0.48125000000000007
21;25;0.5588235294117647
22;21;0.5357142857142857
ROC_AUC_SCORE weighted;0.5055502520790682;
F1_SCORE weighted;0.0;
