SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5463659147869674
2;157;0.5399436090225563
3;157;0.5297619047619048
4;157;0.5610902255639096
5;157;0.5892857142857143
6;157;0.6080827067669172
7;157;0.6087092731829573
8;154;0.614423076923077
9;152;0.6280924479166666
10;142;0.6244703389830509
11;129;0.6113617719442166
12;109;0.6049039433771486
13;93;0.6108695652173913
14;82;0.5776736924277908
15;61;0.5327540106951872
16;51;0.5053571428571428
17;40;0.4876373626373626
18;38;0.5292307692307692
19;35;0.5625
20;28;0.48750000000000004
21;25;0.5588235294117647
22;21;0.5357142857142857
ROC_AUC_SCORE weighted;0.5797080316167348;
F1_SCORE weighted;0.44859681217868475;
