SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.48887844611528825
2;157;0.4805764411027569
3;157;0.4832393483709273
4;157;0.5068922305764412
5;157;0.5234962406015038
6;157;0.5386904761904762
7;157;0.5393170426065163
8;154;0.5328525641025641
9;152;0.5528971354166666
10;142;0.5489053672316384
11;129;0.5209187858900738
12;109;0.5156723963599595
13;93;0.5254658385093167
14;82;0.5347384855581577
15;61;0.5240641711229946
16;51;0.5223214285714286
17;40;0.4958791208791209
18;38;0.5353846153846153
19;35;0.5662878787878788
20;28;0.4937500000000001
21;25;0.5588235294117647
22;21;0.5357142857142857
ROC_AUC_SCORE weighted;0.5209875307233469;
F1_SCORE weighted;0.0;
