SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.4882518796992481
2;157;0.4799498746867168
3;157;0.4826127819548872
4;157;0.5046992481203008
5;157;0.5219298245614036
6;157;0.5377506265664159
7;157;0.5383771929824561
8;154;0.5315705128205128
9;152;0.5519205729166666
10;142;0.548199152542373
11;129;0.520098441345365
12;109;0.5136501516683518
13;93;0.5229813664596272
14;82;0.531615925058548
15;61;0.5200534759358288
16;51;0.5169642857142858
17;40;0.4876373626373626
18;38;0.5292307692307692
19;35;0.5625
20;28;0.48750000000000004
21;25;0.5588235294117647
22;21;0.5357142857142857
ROC_AUC_SCORE weighted;0.5192925679417637;
F1_SCORE weighted;0.0;
