SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.4396482813749001
2;157;0.4584332533972822
3;157;0.43565147881694644
4;157;0.413269384492406
5;157;0.38649080735411667
6;157;0.4088729016786571
7;157;0.45883293365307753
8;157;0.4628297362110312
9;154;0.47222222222222227
10;152;0.486318407960199
11;141;0.5145
12;129;0.49689440993788814
13;109;0.5030303030303029
14;90;0.4984756097560975
15;78;0.4857142857142857
16;60;0.4722222222222223
17;49;0.5363636363636364
18;38;0.4861111111111111
19;36;0.4852941176470588
20;32;0.5
21;28;0.46153846153846156
22;24;0.40909090909090906
23;21;0.42105263157894735
24;19;0.5
25;17;0.5
26;16;0.5
27;16;0.5
28;15;0.46153846153846156
29;13;0.4545454545454546
ROC_AUC_SCORE weighted;0.46116780308988764;
F1_SCORE weighted;0.19494190992863283;
