SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.3537170263788969
2;157;0.3453237410071942
3;157;0.3401278976818545
4;157;0.3333333333333333
5;157;0.33293365307753797
6;157;0.33293365307753797
7;157;0.3625099920063949
8;157;0.36690647482014394
9;154;0.3656045751633987
10;152;0.3611111111111111
11;141;0.36899999999999994
12;129;0.32546583850931676
13;109;0.3929292929292929
14;90;0.3658536585365854
15;78;0.37857142857142856
16;60;0.3364197530864197
17;49;0.3409090909090909
18;38;0.22222222222222227
19;36;0.20588235294117646
20;32;0.18333333333333335
21;28;0.17307692307692307
22;24;0.13636363636363635
23;21;0.10526315789473689
24;19;0.11764705882352944
25;17;0.1333333333333333
26;16;0.07142857142857145
27;16;0.07142857142857145
28;15;0.07692307692307693
29;13;0.0
ROC_AUC_SCORE weighted;0.32968980404343934;
F1_SCORE weighted;0.0;
