SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5819344524380495
2;157;0.60431654676259
3;157;0.5943245403677058
4;157;0.5945243804956035
5;157;0.5939248601119105
6;157;0.5963229416466826
7;157;0.6322941646682654
8;157;0.6354916067146282
9;154;0.6315359477124183
10;152;0.6281094527363184
11;141;0.6275000000000001
12;129;0.6341614906832299
13;109;0.6838383838383838
14;90;0.6920731707317074
15;78;0.6946428571428571
16;60;0.5771604938271605
17;49;0.5454545454545454
18;38;0.2222222222222222
19;36;0.23529411764705882
20;32;0.25
21;28;0.23076923076923073
22;24;0.2272727272727273
23;21;0.26315789473684215
24;19;0.2941176470588235
25;17;0.2666666666666667
26;16;0.2857142857142857
27;16;0.2857142857142857
28;15;0.23076923076923073
29;13;0.18181818181818177
ROC_AUC_SCORE weighted;0.5782697596847513;
F1_SCORE weighted;0.0;
