SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6366906474820144
2;157;0.6414868105515588
3;157;0.6410871302957635
4;157;0.6205035971223022
5;157;0.6258992805755396
6;157;0.6258992805755396
7;157;0.6566746602717826
8;157;0.6566746602717826
9;154;0.6556372549019608
10;152;0.6525704809286899
11;141;0.6675
12;129;0.6484472049689441
13;109;0.6919191919191919
14;90;0.6905487804878049
15;78;0.6964285714285713
16;60;0.617283950617284
17;49;0.6
18;38;0.1527777777777778
19;36;0.16176470588235298
20;32;0.14999999999999997
21;28;0.13461538461538458
22;24;0.15909090909090906
23;21;0.1842105263157895
24;19;0.20588235294117646
25;17;0.2
26;16;0.21428571428571425
27;16;0.21428571428571425
28;15;0.1923076923076923
29;13;0.13636363636363635
ROC_AUC_SCORE weighted;0.5954416682464161;
F1_SCORE weighted;0.0;
