SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6091127098321343
2;157;0.6003197442046363
3;157;0.6027178257394085
4;157;0.5375699440447641
5;157;0.5387689848121502
6;157;0.5459632294164669
7;157;0.5771382893685052
8;157;0.5799360511590728
9;154;0.5804738562091504
10;152;0.5766998341625207
11;141;0.62
12;129;0.5906832298136645
13;109;0.6515151515151515
14;90;0.6783536585365855
15;78;0.6785714285714286
16;60;0.5771604938271605
17;49;0.5272727272727272
18;38;0.09722222222222221
19;36;0.13235294117647062
20;32;0.11666666666666664
21;28;0.11538461538461542
22;24;0.09090909090909094
23;21;0.10526315789473684
24;19;0.11764705882352944
25;17;0.09999999999999998
26;16;0.0714285714285714
27;16;0.0714285714285714
28;15;0.07692307692307687
29;13;0.09090909090909094
ROC_AUC_SCORE weighted;0.5356490193088761;
F1_SCORE weighted;0.10257053270708899;
