SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.552757793764988
2;157;0.5167865707434053
3;157;0.49880095923261386
4;157;0.4972022382094325
5;157;0.5071942446043165
6;157;0.5083932853717026
7;157;0.5203836930455635
8;157;0.5211830535571542
9;154;0.5208333333333334
10;152;0.519485903814262
11;141;0.4815
12;129;0.4366459627329192
13;109;0.4444444444444444
14;90;0.45579268292682923
15;78;0.4392857142857143
16;60;0.37654320987654316
17;49;0.41363636363636364
18;38;0.2916666666666667
19;36;0.25
20;32;0.25
21;28;0.2884615384615385
22;24;0.29545454545454547
23;21;0.2894736842105263
24;19;0.2647058823529412
25;17;0.33333333333333337
26;16;0.2857142857142857
27;16;0.2857142857142857
28;15;0.3076923076923077
29;13;0.2727272727272727
ROC_AUC_SCORE weighted;0.47114879349871763;
F1_SCORE weighted;0.11903129306198457;
