SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.44644284572342124
2;157;0.4184652278177458
3;157;0.41526778577138285
4;157;0.38729016786570747
5;157;0.37769784172661874
6;157;0.38489208633093525
7;157;0.4056754596322942
8;157;0.4060751398880896
9;154;0.40441176470588236
10;152;0.40215588723051404
11;141;0.4155
12;129;0.3633540372670807
13;109;0.3898989898989899
14;90;0.4039634146341463
15;78;0.3946428571428572
16;60;0.3549382716049383
17;49;0.38636363636363635
18;38;0.16666666666666663
19;36;0.1470588235294118
20;32;0.16666666666666663
21;28;0.1923076923076923
22;24;0.13636363636363635
23;21;0.10526315789473684
24;19;0.11764705882352944
25;17;0.1333333333333333
26;16;0.1428571428571429
27;16;0.1428571428571429
28;15;0.15384615384615385
29;13;0.09090909090909094
ROC_AUC_SCORE weighted;0.37227694111967546;
F1_SCORE weighted;0.056027514059725614;
