SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5771382893685052
2;157;0.6127098321342925
3;157;0.5931254996003197
4;157;0.5987210231814548
5;157;0.6027178257394085
6;157;0.5947242206235012
7;157;0.6211031175059951
8;157;0.6282973621103117
9;154;0.6209150326797386
10;152;0.6194029850746269
11;141;0.6174999999999999
12;129;0.632919254658385
13;109;0.6888888888888889
14;90;0.6981707317073171
15;78;0.7035714285714286
16;60;0.6080246913580247
17;49;0.5681818181818182
18;38;0.3055555555555555
19;36;0.3088235294117647
20;32;0.3333333333333333
21;28;0.3076923076923077
22;24;0.3181818181818182
23;21;0.34210526315789475
24;19;0.3823529411764706
25;17;0.4
26;16;0.42857142857142855
27;16;0.42857142857142855
28;15;0.38461538461538464
29;13;0.4545454545454546
ROC_AUC_SCORE weighted;0.5896423995104311;
F1_SCORE weighted;0.0;
