SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5907274180655475
2;157;0.6139088729016786
3;157;0.6019184652278178
4;157;0.5979216626698641
5;157;0.6011191047162271
6;157;0.5987210231814548
7;157;0.6358912869704236
8;157;0.6414868105515588
9;154;0.6368464052287582
10;152;0.6326699834162521
11;141;0.632
12;129;0.6372670807453417
13;109;0.6909090909090909
14;90;0.7134146341463414
15;78;0.7125
16;60;0.6080246913580247
17;49;0.5590909090909091
18;38;0.25
19;36;0.25
20;32;0.26666666666666666
21;28;0.25
22;24;0.25
23;21;0.3157894736842105
24;19;0.3529411764705882
25;17;0.2666666666666667
26;16;0.2857142857142857
27;16;0.2857142857142857
28;15;0.23076923076923073
29;13;0.18181818181818177
ROC_AUC_SCORE weighted;0.5871745689520786;
F1_SCORE weighted;0.0;
